State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
West Virginia,02/01/2020,1364,01/25/2020,16905,670051,2.52
West Virginia,02/08/2020,1206,02/01/2020,16588,670051,2.48
West Virginia,02/15/2020,1172,02/08/2020,16856,670051,2.52
West Virginia,02/22/2020,1207,02/15/2020,17355,670051,2.59
West Virginia,02/29/2020,1108,02/22/2020,16797,670051,2.51
West Virginia,03/07/2020,1033,02/29/2020,16110,670051,2.40
West Virginia,03/14/2020,865,03/07/2020,15394,670051,2.30
West Virginia,03/21/2020,3536,03/14/2020,14154,670051,2.11
West Virginia,03/28/2020,14523,03/21/2020,21145,670051,3.16
West Virginia,04/04/2020,14494,03/28/2020,36690,670051,5.48
West Virginia,04/11/2020,14944,04/04/2020,48597,667871,7.28
West Virginia,04/18/2020,46755,04/11/2020,96128,667871,14.39
West Virginia,04/25/2020,29818,04/18/2020,146566,667871,21.95
Wisconsin,01/04/2020,12854,12/28/2019,49605,2848173,1.74
Wisconsin,01/11/2020,8255,01/04/2020,53305,2851929,1.87
Wisconsin,01/18/2020,6388,01/11/2020,44776,2851929,1.57
Wisconsin,01/25/2020,6134,01/18/2020,44077,2851929,1.55
Wisconsin,02/01/2020,6280,01/25/2020,44425,2851929,1.56
Wisconsin,02/08/2020,6579,02/01/2020,44477,2851929,1.56
Wisconsin,02/15/2020,5808,02/08/2020,44163,2851929,1.55
Wisconsin,02/22/2020,6098,02/15/2020,43996,2851929,1.54
Wisconsin,02/29/2020,5658,02/22/2020,43574,2851929,1.53
Wisconsin,03/07/2020,5052,02/29/2020,42337,2851929,1.48
Wisconsin,03/14/2020,5190,03/07/2020,40738,2851929,1.43
Wisconsin,03/21/2020,51031,03/14/2020,43607,2851929,1.53
Wisconsin,03/28/2020,110934,03/21/2020,99574,2851929,3.49
Wisconsin,04/04/2020,104823,03/28/2020,208387,2851929,7.31
Wisconsin,04/11/2020,70000,04/04/2020,262847,2853837,9.21
Wisconsin,04/18/2020,55883,04/11/2020,299532,2853837,10.50
Wisconsin,04/25/2020,49993,04/18/2020,321063,2853837,11.25
Wyoming,01/04/2020,662,12/28/2019,3219,267362,1.20
Wyoming,01/11/2020,829,01/04/2020,3302,268518,1.23
Wyoming,01/18/2020,636,01/11/2020,3301,268518,1.23
Wyoming,01/25/2020,531,01/18/2020,3354,268518,1.25
Wyoming,02/01/2020,529,01/25/2020,3475,268518,1.29
Wyoming,02/08/2020,589,02/01/2020,3507,268518,1.31
Wyoming,02/15/2020,598,02/08/2020,3699,268518,1.38
Wyoming,02/22/2020,389,02/15/2020,3611,268518,1.34
Wyoming,02/29/2020,471,02/22/2020,3543,268518,1.32
Wyoming,03/07/2020,534,02/29/2020,3508,268518,1.31
Wyoming,03/14/2020,517,03/07/2020,3375,268518,1.26
Wyoming,03/21/2020,3653,03/14/2020,3197,268518,1.19
Wyoming,03/28/2020,6396,03/21/2020,4519,268518,1.68
Wyoming,04/04/2020,6543,03/28/2020,7790,268518,2.90
Wyoming,04/11/2020,5794,04/04/2020,11212,270013,4.15
Wyoming,04/18/2020,4381,04/11/2020,14302,270013,5.30
Wyoming,04/25/2020,3497,04/18/2020,16566,270013,6.14
